"Issue Name","Issue Type","Issue Priority","URLs","% of Total","Description","How To Fix","Help URL"
"Security: HTTP URLs","Issue","High","1","100.000","Pages served over plain HTTP. HTTPS is a ranking signal and browsers mark HTTP pages as 'not secure'.","Serve all pages over HTTPS and 301 redirect HTTP to HTTPS.","https://developers.google.com/search/docs/crawling-indexing/http-https"
"Links: Pages Without Internal Outlinks","Warning","High","1","100.000","Pages with no links to other internal pages. Search engines have trouble discovering pages that are not linked, and PageRank cannot flow onwards.","Link to relevant internal pages to help users continue their journey and pass PageRank onwards. If links are only client-side, render them server-side.","https://www.screamingfrog.co.uk/seo-spider/issues/"
"GEO: Missing XML Sitemap","Issue","Medium","1","100.000","No XML sitemap found. Sitemaps are the primary discovery mechanism for search engines and many AI crawlers.","Generate a sitemap.xml of canonical URLs and reference it from robots.txt.","https://developers.google.com/search/docs/crawling-indexing/sitemaps/overview"
"Canonicals: Missing","Warning","Medium","1","100.000","Pages with no canonical URL (link element or HTTP header). Without one, search engines pick the version they consider best, which can be unpredictable when multiple versions exist.","Specify a canonical URL on every indexable page.","https://developers.google.com/search/docs/crawling-indexing/consolidate-duplicate-urls"
"GEO: Missing robots.txt","Warning","Medium","1","100.000","No robots.txt found. Crawlers (search and AI) fall back to default behavior and you lose the ability to declare sitemaps and per-bot policies.","Add a robots.txt declaring crawl policy and the sitemap location.","https://developers.google.com/search/docs/crawling-indexing/robots/intro"
"Page Titles: Over 60 Characters","Opportunity","Medium","1","100.000","Pages whose titles exceed 60 characters. Characters over the limit may be truncated in Google's search results and carry less weight in scoring.","Write concise page titles so important words are not truncated in the SERPs.","https://www.screamingfrog.co.uk/seo-spider/issues/"
"Social: Missing Open Graph Tags","Opportunity","Medium","1","100.000","Pages without Open Graph tags (og:title, og:description, og:image). Shares on social platforms and chat apps render without a rich preview, lowering CTR.","Add og:title, og:description, og:image and og:url meta tags.","https://ogp.me/"
"GEO: Missing llms.txt","Opportunity","Medium","1","100.000","No llms.txt found. llms.txt is an emerging standard that gives LLMs and AI agents a curated, markdown map of your most important content - improving how AI systems summarize and cite the site.","Add /llms.txt with a short site description and links to key pages and docs.","https://llmstxt.org/"
"AIO: Missing Organization Schema","Opportunity","Medium","1","100.000","No Organization (or WebSite) schema found anywhere on the site. Entity-level markup helps AI systems attribute content to a verified organization (E-E-A-T).","Add Organization JSON-LD (name, url, logo, sameAs) on the homepage.","https://schema.org/Organization"
"H2: Multiple","Warning","Low","1","100.000","Pages with multiple <h2>s. HTML standards allow this within a logical heading hierarchy; the filter helps review whether they are used appropriately.","Ensure <h2>s sit in a logical hierarchical structure, using h3-h6 for deeper levels where appropriate.","https://www.screamingfrog.co.uk/seo-spider/issues/"
"Security: Missing Content-Security-Policy Header","Warning","Low","1","100.000","URLs missing the Content-Security-Policy response header, which guards against cross-site scripting by controlling which resources may load.","Set a strict Content-Security-Policy response header across all pages.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Guides/CSP"
"Security: Missing X-Content-Type-Options Header","Warning","Low","1","100.000","URLs missing the X-Content-Type-Options: nosniff header, allowing browsers to MIME-sniff responses away from the declared content type.","Set X-Content-Type-Options: nosniff on all responses.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Headers/X-Content-Type-Options"
"Security: Missing X-Frame-Options Header","Warning","Low","1","100.000","URLs missing X-Frame-Options (or CSP frame-ancestors), leaving pages embeddable in iframes and exposed to clickjacking.","Set X-Frame-Options: SAMEORIGIN or a CSP frame-ancestors directive.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Headers/X-Frame-Options"
"Security: Missing Secure Referrer-Policy Header","Warning","Low","1","100.000","URLs missing a secure Referrer-Policy (no-referrer-when-downgrade, strict-origin-when-cross-origin, no-referrer or strict-origin). Full URLs can leak cross-origin in the Referer header.","Set Referrer-Policy: strict-origin-when-cross-origin.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Headers/Referrer-Policy"
"Meta Description: Missing","Opportunity","Low","1","100.000","Pages with a missing, empty or whitespace meta description. This is a missed opportunity to influence click-through rates from search results.","Write unique, descriptive meta descriptions on key pages that communicate the purpose of the page and entice clicks.","https://developers.google.com/search/docs/appearance/snippet"
"GEO: Headings Without Anchor IDs","Opportunity","Low","1","100.000","Section headings lack id attributes, so deep links to specific passages are impossible. Citable fragments improve how AI answers and SERP features link in.","Add stable id attributes to h2/h3 headings to enable deep links.",""
"Content: Readability Very Difficult","Opportunity","Low","1","100.000","Copy on the page is very difficult to read (Flesch reading-ease below 30) and is best understood by university graduates.","Use shorter sentences and simpler words to improve readability for your audience.","https://www.screamingfrog.co.uk/seo-spider/issues/"
"AIO: Missing Breadcrumb Schema","Opportunity","Low","1","100.000","Pages without BreadcrumbList schema. Breadcrumbs help search and answer engines understand site hierarchy and display better result paths.","Add BreadcrumbList JSON-LD reflecting the page's position in the site.","https://developers.google.com/search/docs/appearance/structured-data/breadcrumb"
"Social: Missing Twitter Card","Opportunity","Low","1","100.000","Pages without a twitter:card meta tag; X/Twitter shares fall back to a bare link.","Add <meta name=""twitter:card"" content=""summary_large_image""> plus title, description and image tags.","https://developer.x.com/en/docs/x-for-websites/cards/overview/markup"
"GEO: Missing RSS/Atom Feed","Opportunity","Low","1","100.000","No RSS/Atom feed discovered. Feeds help aggregators and AI systems track fresh content and surface it quickly.","Publish an RSS/Atom feed and declare it with <link rel=""alternate"">.",""
"Validation: Missing Favicon","Opportunity","Low","1","100.000","No favicon was discovered. Favicons appear in browser tabs, bookmarks and Google's mobile search results.","Add a favicon and declare it with a <link rel=""icon""> element.","https://developers.google.com/search/docs/appearance/favicon-in-search"
